@relation function

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class numeric 

@data
-20,21,9,-106
6,0,20,-170
-11,24,-28,321
-16,10,11,-150
16,-29,14,-176
12,-25,-27,230
26,8,19,-28
23,-25,-11,125
-10,0,-10,50
-4,6,-29,294
9,5,-13,195
-1,-23,-13,33
-19,-24,-5,-141
1,23,-27,367
15,11,-7,189
17,17,-7,223
19,-13,-1,53
9,-28,28,-347
-22,13,1,-68
-12,0,-29,230
4,4,14,-104
-24,-5,9,-230
17,-22,7,-73
27,26,-5,289
29,-1,29,-149
-25,24,-26,231
0,9,27,-234
-10,22,-18,218
-24,5,15,-250
-5,23,-13,197
-26,3,-14,22
16,17,17,-22
14,-27,-29,252
-18,-11,-1,-124
-6,-8,-13,68
-4,-10,2,-80
-23,-4,-25,119
-10,-13,29,-392
0,-3,-2,8
26,-18,28,-222
2,-1,18,-174
16,-16,-1,26
-26,15,-1,-60
18,16,21,-56
-7,8,-28,277
6,-4,23,-216
4,-9,29,-306
-11,0,22,-275
0,-5,26,-280
-8,29,0,76
0,27,-7,178
-12,-24,8,-236
5,27,17,-37
24,12,15,18
6,21,-10,214
-26,24,-22,186
-23,27,-29,283
-17,27,-29,313
-21,-26,27,-479
14,-12,-22,242
-22,22,27,-292
-7,-7,-11,47
8,-16,-17,146
-22,14,-6,6
-25,18,11,-163
-2,27,3,68
12,9,-23,326
17,5,-25,355
28,-3,-12,248
9,15,-28,385
0,20,13,-50
-7,-26,29,-429
27,27,28,-37
-2,17,2,38
-5,-1,28,-309
16,-15,-16,180
-1,15,24,-185
1,-24,-1,-81
10,-14,-25,244
-17,26,-25,269
-7,-22,26,-383
6,-5,21,-200
-27,-18,16,-367
16,-10,26,-220
-27,11,26,-351
-6,-24,-26,134
18,-10,-5,100
0,14,12,-64
17,17,-20,353
-29,8,18,-293
-15,28,15,-113
13,8,6,37
-6,11,0,14
15,-25,23,-255
0,-3,14,-152
17,-26,3,-49
10,-6,-20,226
-9,20,-1,45
2,10,-20,250
-11,-27,-5,-113
28,19,0,216
-14,23,0,22
27,-19,12,-61
-6,0,13,-160
1,27,-11,223
-20,-15,27,-430
29,4,-25,411
4,-16,-27,226
-3,-23,12,-227
19,-1,13,-39
-19,25,-2,25
29,0,18,-35
13,27,-21,383
1,2,4,-27
-5,6,6,-61
-22,-6,21,-344
-22,-20,-19,0
0,-8,-18,148
10,0,-12,170
-11,19,10,-79
27,1,29,-151
-29,27,-20,163
15,-4,20,-141
0,29,2,96
3,-8,-8,63
-20,9,3,-94
-29,-18,-12,-97
11,-26,-4,-9
-21,28,-29,297
-17,-12,29,-423
29,10,-21,395
-29,27,5,-87
17,12,19,-57
16,-12,11,-78
-11,29,-14,201
-2,22,-20,278
-18,23,29,-288
13,-27,-10,57
10,8,-2,102
4,20,-10,200
19,4,13,-19
9,7,-19,263
-19,-17,26,-423
-13,19,5,-39
-15,20,16,-155
0,-10,7,-110
1,26,-22,329
0,-22,-5,-38
-28,29,-4,16
20,6,-4,164
-5,-1,-1,-19
-2,20,9,-20
-19,17,-9,63
-28,-24,5,-286
0,6,15,-126
-7,22,-18,233
29,14,10,101
22,-9,-19,264
-14,8,11,-148
-27,15,11,-185
5,-22,-10,37
9,-15,-25,235
-22,27,-4,38
6,-7,-11,112
-29,-6,18,-349
21,27,-16,373
3,-17,-1,-43
19,-20,7,-55
13,-1,9,-29
-14,1,-5,-16
-19,-23,-4,-147
-12,22,4,-12
-14,-7,-5,-48
1,-24,7,-161
-27,-6,12,-279
1,8,12,-83
1,13,-4,97
-3,24,-20,281
0,-15,16,-220
18,16,-18,334
3,-2,-15,157
-20,20,-26,240
-16,-26,-18,-4
-21,-11,-29,141
24,25,7,150
21,-18,-19,223
6,-7,0,2
22,1,-3,144
-19,16,-17,139
1,-9,16,-191
19,-20,18,-165
-8,-19,7,-186
22,-8,-12,198
-2,15,17,-120
-14,22,17,-152
-16,-20,2,-180
15,-7,-20,247
-3,26,8,9
-13,-19,26,-401
0,15,1,50
0,-14,19,-246
-21,-29,-29,69
-11,-12,-7,-33
-8,19,-24,276
14,-15,-21,220
0,16,-18,244
2,-29,22,-326
11,-28,-7,13
-6,6,20,-206
-21,1,19,-291
17,5,17,-65
5,-4,-15,159
-23,-3,-29,163
19,-21,21,-199
13,-17,-7,67
-2,-24,0,-106
28,0,-26,400
23,-1,-13,241
10,-22,3,-68
27,-19,-2,79
-20,-4,-3,-86
-2,28,8,22
17,0,25,-165
-20,15,-17,130
-5,28,16,-73
-11,-23,29,-437
-15,0,4,-115
13,-20,-27,255
-24,-10,6,-220
-9,-2,-17,117
-18,-14,4,-186
-29,-3,24,-397
-4,-13,16,-232
11,-21,-16,131
-23,-26,17,-389
4,-4,22,-216
13,-24,26,-291
-2,29,21,-104
1,21,27,-181
-3,-24,-7,-41
16,-24,7,-86
-15,19,-6,61
25,-10,19,-105
2,21,-2,114
-28,-17,-20,-8
-27,10,21,-305
29,-15,-2,105
18,9,3,96
-9,7,-2,3
29,-5,-3,155
17,-27,-4,17
7,4,24,-189
10,26,23,-76
6,9,27,-204
-14,16,27,-276
25,0,-12,245
28,3,17,-18
-28,3,-3,-98
2,-11,17,-204
0,15,-26,320
-16,-29,23,-426
-2,-7,-9,52
5,-26,-19,111
16,-23,-2,8
-18,-22,11,-288
3,27,-16,283
-16,-29,20,-396
-1,6,10,-81
15,-22,-1,-3
0,-29,-24,124
-15,14,5,-69
27,3,-27,417
23,-25,-5,65
29,11,-3,219
-7,-15,-9,-5
17,-17,-21,227
-9,-13,25,-347
-15,-25,-24,65
6,11,1,64
-8,-20,-1,-110
15,12,0,123
-25,-6,1,-159
-2,-5,-23,200
-21,16,17,-211
3,25,-11,225
9,-8,-18,193
-16,19,22,-224
13,-19,20,-211
-13,26,6,-21
-9,-23,-5,-87
5,22,-2,133
11,11,14,-41
16,0,-2,100
11,-23,-8,43
-17,-24,20,-381
-20,5,22,-300
-8,-3,-24,188
-13,9,-13,101
0,-12,11,-158
-28,12,-1,-82
28,-18,29,-222
29,25,-27,515
-26,-3,24,-382
25,-9,20,-111
29,-7,6,57
-6,-21,-16,46
-10,29,7,-4
-8,28,23,-158
8,-15,24,-260
-20,29,3,-14
-15,-29,-14,-51
14,14,-27,396
2,29,26,-134
17,-15,26,-235
29,-24,-9,139
24,8,-15,302
17,-5,-18,245
4,-14,8,-116
-14,-16,-28,146
-21,7,-24,163
26,-13,-14,218
-19,-13,24,-387
13,20,-3,175
-28,8,20,-308
14,26,22,-46
29,23,0,237
-9,5,3,-55
5,-5,-9,95
18,22,4,138
0,23,6,32
18,18,-20,362
13,-20,-16,145
-18,26,-7,84
23,-5,16,-65
12,-20,26,-280
-16,5,24,-300
-10,-7,27,-348
-12,-1,-18,116
17,21,-2,189
-11,22,-25,283
7,-25,-1,-55
-13,20,22,-205
28,22,28,-52
0,20,12,-40
12,-16,-8,76
0,22,22,-132
22,26,-15,364
17,-23,-16,153
12,2,14,-72
26,5,3,120
29,28,29,-33
17,-12,18,-143
-7,-18,0,-107
-19,11,-17,119
24,-3,13,-22
-8,3,12,-148
26,-12,-11,192
-24,-7,3,-178
1,11,-27,319
15,-8,7,-27
0,-7,-5,22
-11,0,-14,85
14,-15,-12,130
-28,-1,-22,76
5,28,-6,197
27,-17,21,-143
3,-25,-1,-75
23,2,6,63
0,-3,-6,48
-10,21,22,-186
23,12,-4,203
27,-12,-25,337
-28,-8,-23,58
-8,0,21,-250
-20,11,-1,-46
13,16,-18,309
-11,2,-21,163
-21,23,22,-233
-11,2,5,-97
-17,0,2,-105
29,-12,-6,157
1,-13,13,-177
-15,20,17,-165
7,-1,13,-99
-22,-5,11,-240
-21,-3,13,-247
11,-9,-12,139
-9,9,24,-249
0,28,10,12
6,-21,11,-164
-8,-25,-24,100
20,15,23,-70
26,19,-28,486
-18,6,25,-316
24,-16,-7,126
8,-29,-24,164
28,17,29,-82
28,-27,-17,202
0,15,-25,310
4,-5,-12,120
13,-18,16,-167
-15,9,12,-159
-2,20,26,-190
26,13,16,22
-19,12,21,-257
-27,9,21,-309
6,-24,15,-216
-29,17,5,-127
23,2,10,23
14,11,0,114
-26,-12,0,-178
-21,-16,-19,21
-19,16,-25,219
8,4,26,-204
22,-28,-15,148
-16,28,24,-208
-25,7,-14,43
4,19,14,-44
15,-7,20,-153
-9,7,-1,-7
18,28,17,32
16,-5,-10,160
-18,-3,14,-242
-7,-28,28,-427
-7,5,-9,75
5,-10,-5,35
29,-7,20,-83
-1,-3,16,-177
13,-25,-11,75
-4,-23,-11,-2
-10,28,4,22
9,-11,18,-179
23,-17,8,-33
-21,5,-10,15
1,13,-14,197
2,12,-29,348
20,-19,-3,54
-8,3,22,-248
10,26,26,-106
22,-23,-20,218
14,-28,-9,48
8,12,10,-12
-4,18,-8,132
-20,-19,17,-346
28,-23,-18,228
-28,0,-28,140
11,18,13,-3
-15,-12,27,-393
29,22,15,83
29,-13,11,-17
-18,4,-1,-64
11,-3,-22,263
14,-24,-22,194
3,-17,-26,207
27,-10,25,-155
-5,17,28,-237
-7,3,23,-253
-7,-27,28,-423
0,29,13,-14
9,13,-12,217
-16,15,6,-80
-1,-17,21,-283
-26,0,-1,-120
-27,1,16,-291
-9,-21,24,-369
-27,17,-1,-57
29,6,-20,369
4,-8,10,-112
-23,17,15,-197
27,0,24,-105
9,-9,8,-71
9,-8,-24,253
11,-26,11,-159
-2,-12,1,-68
-11,26,9,-41
11,-19,-4,19
-15,-1,-24,161
3,-5,10,-105
12,5,-28,360
22,5,-21,340
26,-18,19,-132
-28,-3,8,-232
-5,-17,1,-103
27,6,24,-81
-22,18,-8,42
-9,10,-19,185
-14,1,-5,-16
-6,-25,-2,-110
-15,-13,23,-357
15,21,5,109
27,3,-26,407
-15,13,3,-53
-14,25,19,-160
-10,-9,15,-236
3,-27,4,-133
-6,-24,-25,124
-25,-4,-10,-41
-2,10,-19,220
-13,-22,16,-313
5,-13,10,-127
-16,-29,-20,4
28,-11,8,16
-27,-26,29,-529
-12,-14,-21,94
20,2,10,8
6,3,-1,52
-28,-21,23,-454
-18,6,20,-266
20,-22,2,-8
-13,0,13,-195
4,-10,-24,220
11,-10,12,-105
-24,18,-17,122
-26,-18,3,-232
-24,10,-18,100
-14,29,-17,216
-22,28,6,-58
-8,12,16,-152
2,-16,28,-334
0,26,-11,214
1,-12,4,-83
24,-2,-26,372
0,13,-11,162
19,11,10,39
13,-3,13,-77
9,20,20,-75
-29,-12,-29,97
4,8,-5,102
-29,-24,-3,-211
6,22,10,18
12,12,10,8
19,11,4,99
21,-28,2,-27
-18,2,15,-232
11,0,15,-95
17,16,-12,269
1,17,-3,103
9,-29,-10,29
-14,28,-22,262
15,-5,-10,155
21,0,-17,275
-1,5,-13,145
-18,3,24,-318
25,0,-9,215
19,1,-8,179
4,0,-5,70
-14,-1,22,-294
-22,19,15,-184
15,2,28,-197
-5,-2,-4,7
-15,-22,10,-263
-16,25,-29,310
22,20,25,-60
11,15,-27,385
-2,-26,26,-374
6,4,-4,86
5,22,-17,283
2,-10,-10,70
4,-12,16,-188
-14,6,0,-46
-15,-17,-17,27
28,-18,-5,118
-15,20,-21,215
12,25,-26,420
-7,-8,28,-347
0,22,-9,178
27,17,13,73
-9,14,21,-199
16,-5,2,40
24,25,13,90
6,-3,-10,118
-19,2,1,-97
-2,12,-19,228
-20,11,18,-236
23,7,-10,243
16,10,5,70
-19,7,-3,-37
0,0,-20,200
21,28,-29,507
29,5,-16,325
27,-10,6,35
-10,-18,-1,-112
17,8,-28,397
-16,9,-15,106
6,7,24,-182
-14,29,17,-124
-8,26,18,-116
-12,24,5,-14
-20,22,-12,108
-9,-11,1,-99
15,19,-11,261
-2,-28,3,-152
27,23,-7,297
13,29,-6,241
-17,-24,0,-181
1,-23,-26,173
24,29,-11,346
-13,10,-14,115
-24,-2,2,-148
-14,-17,-13,-8
13,6,-6,149
7,2,12,-77
23,16,12,59
-28,-17,-24,32
14,6,-29,384
5,-17,-25,207
22,7,20,-62
-4,-17,0,-88
-8,16,-5,74
-15,-1,4,-119
-24,17,-25,198
8,11,-4,124
21,-18,-17,203
-3,13,1,27
-7,6,-20,189
20,-1,-26,356
-14,-6,16,-254
-15,-4,-27,179
-10,-14,-29,184
-11,3,-5,7
23,5,15,-15
-5,27,18,-97
-12,8,24,-268
-26,20,27,-320
3,22,-12,223
-23,3,3,-133
3,12,-23,293
12,-18,-27,258
14,-17,-6,62
-17,-8,-2,-97
3,-10,-12,95
-8,-17,-21,102
-24,9,-24,156
21,0,29,-185
0,25,0,100
-4,-10,-19,130
-9,2,-28,243
-14,15,4,-50
16,-27,10,-128
25,7,-1,163
-10,29,-15,216
-2,-15,21,-280
-4,10,21,-190
-25,-22,-5,-163
20,-26,27,-274
-4,19,7,-14
0,9,10,-64
-7,28,-22,297
-22,19,-5,16
13,-29,-11,59
-5,-25,-29,165
-20,-11,6,-204
-2,22,-3,108
16,-16,27,-254
2,-12,-21,172
29,5,-2,185
-3,14,8,-39
-19,8,-1,-53
-27,16,-7,-1
-13,21,-8,99
27,27,12,123
21,0,7,35
-13,-17,-4,-93
26,-29,29,-276
7,0,-14,175
24,-20,-5,90
0,-29,13,-246
0,8,-12,152
6,29,1,136
4,7,-7,118
18,16,-3,184
-18,-17,21,-368
-11,12,-27,263
9,-2,2,17
24,-25,29,-270
-8,28,-27,342
16,27,7,118
2,-2,-1,12
24,-20,2,20
27,18,-20,407
-3,4,-14,141
-29,20,-19,125
26,-18,23,-172
21,9,0,141
5,-5,8,-75
-17,-28,-15,-47
-4,-3,0,-32
-5,0,26,-285
-26,4,15,-264
15,-19,10,-101
8,-20,-22,180
28,17,-28,488
-5,5,-22,215
17,-18,27,-257
23,15,-20,375
13,-16,-2,21
-11,-2,-4,-23
-19,20,-3,15
-3,24,-28,361
-28,-7,2,-188
5,16,-23,319
-6,15,-11,140
8,6,-7,134
-10,-19,8,-206
14,-7,6,-18
24,21,-16,364
-9,-26,23,-379
22,16,-20,374
-11,8,22,-243
12,-4,-3,74
6,-19,-18,134
18,-2,26,-178
3,6,17,-131
-11,-25,-8,-75
2,-1,-3,36
-22,-20,-25,60
-19,-18,-9,-77
29,5,-26,425
-1,28,6,47
5,-17,8,-123
-20,17,19,-222
0,-7,-15,122
0,26,-22,324
-4,19,19,-134
8,-1,-15,186
-2,24,-18,266
-28,-28,14,-392
-3,17,-19,243
0,-6,17,-194
3,10,21,-155
20,-12,9,-38
7,-28,6,-137
-21,-29,-3,-191
-12,13,-20,192
11,2,7,-7
9,29,-27,431
13,-22,8,-103
10,12,21,-112
-17,-9,-23,109
-25,-18,26,-457
-20,1,7,-166
-12,14,-22,216
-7,27,-12,193
9,-20,-17,135
23,-12,11,-43
28,0,-26,400
22,28,21,12
-16,17,4,-52
0,14,19,-134
-19,9,12,-179
0,25,-7,170
27,4,10,51
19,-5,-18,255
-15,16,-22,209
-15,-2,9,-173
-20,13,22,-268
-22,26,-15,144
-27,3,-25,127
-7,-2,27,-313
-14,29,3,16
24,29,-7,306
-10,-20,-13,0
-9,-6,-18,111
3,27,-27,393
2,24,-2,126
25,-12,-4,117
5,-27,20,-283
17,8,0,117
-13,-28,3,-207
-10,-8,25,-332
27,12,-17,353
15,-9,-10,139
10,-28,-9,28
22,24,26,-54
22,10,26,-110
-1,-23,-18,83
13,-16,23,-229
25,-11,-19,271
-26,-13,3,-212
25,17,2,173
-16,-24,-19,14
-29,26,16,-201
14,-25,26,-290
23,-4,26,-161
26,-12,-3,112
0,-25,-1,-90
24,28,15,82
12,26,-12,284
0,-27,23,-338
6,6,27,-216
0,29,23,-114
4,-3,0,8
-9,15,27,-255
-17,-20,-22,55
22,5,-28,410
28,-15,19,-110
18,3,2,82
1,8,2,17
0,-5,-16,140
-20,-29,-12,-96
-9,0,-6,15
9,29,20,-39
-7,27,5,23
19,-24,3,-31
15,0,21,-135
4,13,13,-58
14,17,-4,178
-27,11,-9,-1
-23,-28,25,-477
-26,6,-9,-16
-24,10,0,-80
-17,-28,26,-457
-9,-28,-28,123
9,-23,0,-47
16,-1,24,-164
28,27,8,168
-23,-17,0,-183
0,6,5,-26
-24,-7,14,-288
0,8,1,22
20,10,14,0
14,19,-23,376
-20,-25,-7,-130
20,-20,-22,240
-5,11,-12,139
24,-18,16,-112
28,1,-6,204
-3,-29,-6,-71
19,24,4,151
-23,-3,-8,-47
3,25,-9,205
5,9,2,41
5,-24,22,-291
-23,-16,-9,-89
4,4,-1,46
-4,-24,-24,124
0,27,-26,368
-29,14,-16,71
-25,19,24,-289
22,-3,-1,108
25,8,-9,247
3,-9,-19,169
15,1,-6,139
13,-2,0,57
-27,12,19,-277
19,12,-26,403
16,-11,-11,146
0,16,-9,154
-18,0,-8,-10
13,-13,12,-107
-29,0,19,-335
-28,29,2,-44
-20,15,-7,30
-29,-15,1,-215
8,-2,27,-238
16,12,-4,168
-6,0,-17,140
-20,0,-5,-50
0,-19,-24,164
-10,12,16,-162
1,7,28,-247
-26,0,11,-240
-25,18,-13,77
28,-15,6,20
-3,-18,-29,203
27,21,9,129
-28,10,2,-120
20,12,-21,358
3,-19,28,-341
1,3,15,-133
25,-2,25,-133
-23,-14,16,-331
-13,16,-18,179
3,15,14,-65
25,-12,-29,367
29,12,-20,393
-3,-6,-21,171
-1,21,27,-191
13,-28,29,-337
5,0,-10,125
27,-17,1,57
18,-24,-23,224
-20,8,18,-248
-29,4,5,-179
-9,-7,3,-103
14,-14,24,-226
-19,-24,24,-431
8,18,3,82
12,14,-7,186
2,27,-9,208
-8,-5,23,-290
0,17,7,-2
27,14,2,171
-28,-1,-21,66
-26,26,28,-306
1,-21,7,-149
-26,0,-23,100
12,22,-13,278
2,-12,0,-38
23,28,28,-53
10,-21,14,-174
8,6,-23,294
27,-13,-29,373
25,29,-15,391
-12,25,0,40
-22,2,14,-242
27,-13,-16,243
12,-14,-27,274
28,10,19,-10
-5,-8,-26,203
-18,-5,-11,0
-14,28,29,-248
5,15,15,-65
26,-23,24,-202
-23,-15,26,-435
-3,-4,-19,159
8,-6,-17,186
2,-4,-24,234
16,-25,24,-260
5,0,5,-25
-13,-29,-9,-91
-1,-1,-23,221
-8,22,5,-2
-3,-27,-1,-113
3,17,-3,113
-24,28,-28,272
4,23,29,-178
24,-21,18,-144
29,5,25,-85
8,29,18,-24
21,20,25,-65
13,3,16,-83
-7,-5,-10,45
1,-23,-14,53
-13,-24,0,-161
21,-3,17,-77
-23,-12,12,-283
-18,-19,25,-416
-24,18,-29,242
20,25,-28,480
2,-4,-12,114
0,23,16,-68
16,-10,-25,290
29,-27,17,-133
-14,18,-23,232
-9,-16,-13,21
-21,3,0,-93
14,26,-23,404
12,-14,0,4
15,-3,27,-207
10,7,-17,248
-19,-28,21,-417
21,-8,0,73
-11,26,-1,59
-21,-13,26,-417
-17,-5,-16,55
2,0,14,-130
-24,5,19,-290
-22,-11,-19,36
-15,-23,25,-417
18,-8,7,-12
-8,21,-3,74
3,1,1,9
20,-1,-18,276
12,27,-11,278
5,-14,-16,129
18,-8,-2,78
26,-18,10,-42
28,-19,13,-66
-3,-11,-7,11
-7,6,-20,189
-27,12,-4,-47
22,0,0,110
-29,24,-8,31
22,5,-28,410
16,26,-13,314
-25,14,4,-109
-12,-19,-11,-26
-20,3,-26,172
-21,-11,25,-399
-10,-21,2,-154
12,0,-2,80
-16,-24,-11,-66
-27,-21,-14,-79
-17,-15,5,-195
-22,2,-27,168
-25,-2,24,-373
15,-19,0,-1
18,15,-25,400
13,17,16,-27
14,21,6,94
-25,0,-20,75
-24,21,6,-96
-18,-2,13,-228
-1,20,18,-105
-20,26,-19,194
3,-26,-21,121
-2,-24,-28,174
-1,-26,5,-159
-8,-29,-15,-6
0,2,18,-172
-12,12,-17,158
7,-22,-7,17
28,6,24,-76
6,22,24,-122
-3,17,7,-17
23,-13,20,-137
10,6,15,-76
16,-8,10,-52
-6,-9,-24,174
-25,-8,-24,83
-29,27,25,-287
24,24,-8,296
0,-5,9,-110
0,25,20,-100
11,24,14,11
-9,1,24,-281
-26,19,-17,116
13,-22,-29,267
11,-10,23,-215
-12,12,-24,228
-10,-14,12,-226
5,21,-9,199
-7,-22,-23,107
27,-20,-26,315
-13,-25,-29,125
-19,-3,-28,173
-19,15,16,-195
5,6,2,29
23,-8,-4,123
7,0,23,-195
15,15,-11,245
1,0,22,-215
-20,-2,-16,52
-11,25,-4,85
-11,18,-18,197
-14,-18,7,-212
12,5,0,80
20,-19,12,-96
-12,21,26,-236
-28,-6,13,-294
-5,-16,2,-109
7,5,16,-105
-28,20,-26,200
8,10,20,-120
27,-19,-14,199
5,9,-9,151
3,27,4,83
-3,0,16,-175
11,-5,21,-175
23,-10,-27,345
9,-26,-10,41
0,9,-28,316
27,0,19,-55
-14,-9,-8,-26
-16,7,26,-312
-3,-1,7,-89
-5,-17,4,-133
0,23,-3,122
3,23,7,37
-6,18,10,-58
-2,0,-13,120
19,1,-12,219
5,25,-14,265
23,23,-6,267
17,18,9,67
-20,-19,-7,-106
-5,-8,-6,3
-22,24,4,-54
8,20,22,-100
13,2,20,-127
-22,-20,-14,-50
-4,13,-22,252
-16,-4,-22,124
-10,2,-26,218
0,-15,-13,70
-5,1,9,-111
6,8,15,-88
22,0,3,80
12,-28,-27,218
1,-24,-8,-11
1,-4,0,-11
9,-26,-10,41
-21,-23,22,-417
24,-11,-9,166
25,-10,17,-85
-6,-16,1,-104
12,3,27,-198
0,0,5,-50
-27,-8,26,-427
24,-26,-15,166
8,-28,-16,88
-11,8,26,-283
-18,1,-27,184
-20,-28,13,-342
-13,-4,27,-351
-12,-5,-21,130
-29,5,21,-335
-4,-8,-18,128
-22,23,-5,32
8,19,8,36
28,16,0,204
25,13,-24,417
-2,-27,-18,62
0,17,25,-182
16,-7,28,-228
1,27,-23,343
28,4,5,106
11,21,-23,369
2,-15,25,-300
12,1,-28,344
-12,20,23,-210
11,14,25,-139
-23,15,11,-165
17,19,0,161
-18,24,10,-94
-3,29,-10,201
-7,-12,21,-293
-6,-12,-18,102
-19,3,8,-163
-4,0,22,-240
-24,-18,11,-302
10,17,0,118
14,22,4,118
-21,8,26,-333
2,17,24,-162
-9,-13,-28,183
4,-23,29,-362
-20,-19,17,-346
-12,11,-11,94
-18,-19,6,-226
14,13,0,122
19,4,-8,191
1,29,10,21
0,-16,-4,-24
13,-11,15,-129
-14,0,29,-360
13,9,16,-59
14,-18,15,-152
-18,2,15,-232
-15,-24,7,-241
-17,-16,23,-379
-9,-5,-29,225
14,-13,7,-52
19,14,-8,231
16,17,3,118
25,-8,18,-87
-21,10,4,-105
29,10,9,95
-5,12,-25,273
-29,-20,7,-295
17,-21,11,-109
-19,-26,15,-349
-10,19,28,-254
-3,21,-21,279
24,2,18,-52
-10,-13,7,-172
-24,20,23,-270
26,9,15,16
-26,-25,2,-250
21,-21,3,-9
10,-11,26,-254
17,17,-13,283
26,-9,7,24
-15,-21,27,-429
22,-21,18,-154
-11,15,2,-15
11,16,1,109
1,-11,-17,131
-12,14,-3,26
26,11,-4,214
8,-28,3,-102
0,15,6,0
3,7,19,-147
-1,-22,-6,-33
26,0,6,70
19,-10,18,-125
13,2,6,13
6,-27,-8,2
6,-23,0,-62
-21,10,-28,215
13,-26,23,-269
12,21,5,94
9,8,28,-203
10,-18,-11,88
22,-23,19,-172
-22,22,-8,58
-19,24,-26,261
-22,-27,-20,-18
